score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
nwot alone (under A),50,0.05421368547418968,-0.24574672258109592,0.33672839409595146,0.04326530612244898,0.7084579863949819,0.08815889992360579,0.05363984674329502,False
S_spatial (nwot),50,0.03082355922471502,-0.2564296661749946,0.29945700871941267,0.018124613705587177,0.8317222984935779,-0.020528606904643764,-0.010946907498631636,False
z_spatial (nwot),50,-0.023895788584632496,-0.2944314159536513,0.2561908547430505,-0.0036249227411174353,0.8691655728124008,-0.11030296247271275,-0.1472359058565955,False
composite = z(nwot) + z(S_spatial),50,0.02857142857142857,-0.24266214095260538,0.3071098599682399,0.018775510204081632,0.8438582830868868,0.006569900687547746,-0.011494252873563218,False
composite = z(nwot) + z(z_spatial),50,0.0036974789915966387,-0.27113727894100925,0.2886377286305836,0.017142857142857144,0.9796689836275797,-0.03162719633307868,-0.06458675424192666,False
