score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
zico alone (under A),50,-0.08801920768307324,-0.3635147251662706,0.19635598291982242,-0.0563265306122449,0.5433006702649569,-0.012375859434682963,-0.05309250136836344,False
S_spatial (zico),50,0.08524169961492853,-0.1861363270239566,0.33632431249638844,0.057998763857878964,0.5561447529935973,0.08395281032645359,0.14668856048166393,False
z_spatial (zico),50,-0.025703033099436633,-0.2877278264957435,0.2420587560789124,-0.014499690964469741,0.8593668816677422,-0.09896626910746173,-0.1384783798576902,False
composite = z(zico) + z(S_spatial),50,-0.03145258103241296,-0.32352775014855956,0.25146449392356635,-0.03346938775510204,0.8283395113361829,-0.012070282658517952,-0.009852216748768473,False
composite = z(zico) + z(z_spatial),50,-0.1210564225690276,-0.38977869715375285,0.15972781694437646,-0.09061224489795917,0.4023488773559438,-0.15294117647058822,-0.21620142309797483,False
