score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
snip_all alone (under A),50,-0.3890996398559423,-0.6228808476501086,-0.0828739362971755,-0.2620408163265306,0.005226298462322721,-0.31764705882352934,-0.25615763546798026,False
S_spatial (snip_all),50,-0.12660751850933435,-0.4161150883558208,0.19098754372235452,-0.08881060715737717,0.3809539174638466,-0.34285837501934874,-0.48166392993979196,False
z_spatial (snip_all),50,-0.20863633898683331,-0.47501198355842794,0.08011125759516499,-0.16674644609140202,0.14593981375805173,-0.30486513238985885,-0.3552271483305966,False
composite = z(snip_all) + z(S_spatial),50,-0.4397118847539015,-0.63695751041025,-0.1696948572330353,-0.28816326530612246,0.0013980312748055551,-0.4747135217723453,-0.43568691844553914,False
composite = z(snip_all) + z(z_spatial),50,-0.42434573829531813,-0.6395539057782154,-0.15944975283844937,-0.27346938775510204,0.002131621163220298,-0.4566844919786096,-0.43623426382047065,False
