score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
grad_norm_all alone (under A),50,-0.4412484993997599,-0.6625700819180962,-0.14620161268533097,-0.29306122448979594,0.0013388327814503422,-0.36959511077158136,-0.29337712096332785,False
S_spatial (grad_norm_all),50,-0.10753104863084621,-0.39280579839878693,0.20492172872722392,-0.07612337756346614,0.45730803365100164,-0.30854189780561597,-0.42692939244663375,False
z_spatial (grad_norm_all),50,-0.013453931387986362,-0.298008143236112,0.2781341795982342,-0.021749536446704614,0.9261167960982682,-0.12715480396159942,-0.18117131910235357,False
composite = z(grad_norm_all) + z(S_spatial),50,-0.4721728691476591,-0.6564915135260476,-0.2144313710739784,-0.3126530612244898,0.000536292073745727,-0.5138273491214667,-0.47016967706622875,False
composite = z(grad_norm_all) + z(z_spatial),50,-0.43990396158463385,-0.648411558543574,-0.17095903177429814,-0.28653061224489795,0.0013905058811221067,-0.44201680672268906,-0.3962780514504652,False
