proxy,n,spearman,ci_lo,ci_hi,kendall,p,partial_params,seed_cv,graph-blind,graph-blind (n),has graph,has graph (n),uses A,uses A (n),gcn (incl. mixed),gcn (incl. mixed) (n),diffusion (incl. mixed),diffusion (incl. mixed) (n),head=mse,head=mse (n),head=mae,head=mae (n),head=quantile,head=quantile (n)
grasp,50,0.4836974789915966,0.2091170753850498,0.6801421269058153,0.33387755102040817,0.00037284327719892346,0.49406962785114045,0.7407058997723295,0.538235294117647,16,0.46462948815889993,34,0.3842364532019705,28,0.29298245614035084,19,0.4476923076923077,25,0.16541353383458643,20,-0.04615384615384615,14,0.10588235294117648,16
l2_norm,50,0.02348139255702281,-0.2745353835757558,0.3151275253390395,0.017142857142857144,0.8714151845581425,0.11932773109243697,0.000677195377103839,-0.14411764705882352,16,0.0826585179526356,34,0.08648056923918993,28,0.18771929824561404,19,0.07307692307692308,25,-0.05714285714285714,20,-0.3186813186813187,14,0.2323529411764706,16
tfas_zico_cl,50,-0.07611044417767106,-0.3515535568274734,0.2024267436611463,-0.05306122448979592,0.5993517372477797,-0.07697478991596637,0.004287008201619286,-0.18823529411764706,16,0.0004583651642475172,34,-0.030103995621236997,28,0.12982456140350876,19,-0.043076923076923075,25,-0.08120300751879699,20,-0.26593406593406593,14,0.21470588235294116,16
synflow,50,-0.22679471788715486,-0.475881852035143,0.049496729483664396,-0.1657142857142857,0.1132312888243146,-0.19068427370948376,0.03557378529724226,-0.29411764705882354,16,-0.21497326203208558,34,-0.022441160372194853,28,0.11403508771929824,19,0.039999999999999994,25,-0.03909774436090225,20,0.178021978021978,14,0.01764705882352941,16
snip,50,-0.38180072028811524,-0.6187520625214371,-0.07613242413643852,-0.25551020408163266,0.0062201222069317936,-0.3857382953181272,0.050739172776621995,-0.5411764705882353,16,-0.30603514132925896,34,-0.24849480021893816,28,-0.2824561403508772,19,-0.2915384615384616,25,-0.3654135338345864,20,-0.0945054945054945,14,0.049999999999999996,16
grad_norm,50,-0.4236734693877551,-0.6465772120702091,-0.12904955282776664,-0.2816326530612245,0.002170364192569986,-0.4197358943577431,0.07118553033801192,-0.5911764705882353,16,-0.35889992360580597,34,-0.2846195949644226,28,-0.28596491228070176,19,-0.31999999999999995,25,-0.41804511278195483,20,-0.16043956043956045,14,0.09411764705882353,16
plain,50,-0.4995438175270108,-0.688297825813726,-0.24655376764359482,-0.3273469387755102,0.0002213922351270515,-0.5149099639855942,0.30157662115944533,-0.5029411764705883,16,-0.4982429335370512,34,-0.4373289545703339,28,-0.28596491228070176,19,-0.4884615384615385,25,-0.29774436090225564,20,-0.22637362637362637,14,0.15588235294117647,16
