score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
grad_norm_all alone (under A),150,-0.3969474198853283,-0.531398197024378,-0.23879183871847653,-0.2665771812080537,4.927652684292005e-07,-0.46905587189215775,-0.37150956768249466,False
S_spatial (grad_norm_all),150,-0.057458364649455654,-0.2289923278588595,0.11411703541808628,-0.0314571549489369,0.48492160995708633,-0.29349221828678584,-0.47326111167358514,False
z_spatial (grad_norm_all),150,-0.08104246566758107,-0.2527482789167406,0.08864840550237621,-0.05654324054112709,0.324190543860897,-0.3250062584946208,-0.5127265363976917,False
composite = z(grad_norm_all) + z(S_spatial),150,-0.4154122405440242,-0.5497778634912533,-0.25018230846493145,-0.27445190156599547,1.2499268112820714e-07,-0.5286653736761454,-0.4596537410144781,False
composite = z(grad_norm_all) + z(z_spatial),150,-0.407852793457487,-0.5388921566510521,-0.23892836336690937,-0.2723042505592841,2.2137624652939657e-07,-0.5654760221881697,-0.5524551989470488,False
