score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
zico alone (under A),150,0.31611538290590696,0.15284067872361295,0.4622732190060719,0.21682326621923936,8.12242290265922e-05,0.3064896438244624,0.3412169687151969,False
S_spatial (zico),150,0.10173059967859431,-0.07134221649623262,0.2644170016558695,0.0754573526939689,0.21544406640435207,0.028282121726642857,0.003948567378758732,False
z_spatial (zico),150,0.03407872856764751,-0.13756033544617002,0.20506088100349187,0.017520440731053463,0.6788695511913151,-0.02673987290754766,-0.08551179507947758,False
composite = z(zico) + z(S_spatial),150,0.23300057780345795,0.07456760874831744,0.3875157669497111,0.16402684563758385,0.004112615181135844,0.1722862748867691,0.21030677331173436,False
composite = z(zico) + z(z_spatial),150,0.20184185963820614,0.024326593359180894,0.3637021100850515,0.14165548098434003,0.013252298495200132,0.13753385618401934,0.13736964665384227,False
