base,controls n,controls max |z|,uses-A n,uses-A median z,uses-A min z,uses-A max z,uses-A |z|>3,uses-A score(A) > perm mean
nwot,66,0.0,84,13.14986003009953,2.3129025643036623,34.658251921845974,81,84
zico,66,0.0,84,0.32719337323500153,-2.0258374822616982,2.5002798582285553,0,53
grad_norm_all,66,0.0,84,3.9371083008224605,-1.1983660861986987,13.252258910616693,48,80
snip_all,66,0.0,84,2.5866171057054017,-3.4657512596671314,12.603608653740393,39,77
