proxy,n,spearman,ci_lo,ci_hi,kendall,p,partial_params,seed_cv,graph-blind,graph-blind (n),has graph,has graph (n),uses A,uses A (n),gcn (incl. mixed),gcn (incl. mixed) (n),diffusion (incl. mixed),diffusion (incl. mixed) (n),head=mse,head=mse (n),head=mae,head=mae (n),head=quantile,head=quantile (n)
grasp,150,0.23024489977332327,0.05104993773455022,0.395007622373242,0.14791946308724832,0.004589626218190733,0.2119187519445309,0.690710123955643,0.030069474598349976,48,0.4315214502603887,102,0.5273058621038776,84,0.4941391941391941,64,0.6019204675921095,66,0.23952569169960472,45,-0.20486515071390796,61,-0.04989429175475687,44
tfas_zico_cl,150,0.22862349437752794,0.06577409046367186,0.38189735346052406,0.16044742729306485,0.004892929252169427,0.27468776390061783,0.004343102318124261,0.23903603994789407,48,0.21469485612182007,102,0.24134858762782224,84,0.22449633699633695,64,0.28015864732282647,66,0.23293807641633724,45,0.6151242728714965,61,0.513601127554616,44
l2_norm,150,0.18860749366638518,0.01870816438378535,0.3538558251873048,0.13252796420581656,0.020809572633569286,0.24542068536379394,0.0007338987246083756,0.08955709943551889,48,0.2147853277617882,102,0.26696365293105195,84,0.26341575091575087,64,0.2875065233274189,66,0.18866930171277996,45,0.5053939714436806,61,0.34799154334038057,44
synflow,150,-0.022367216320725365,-0.19786734712486073,0.15517282117915096,-0.005279642058165547,0.7858652484801885,-0.0220614249522201,0.028394895779571147,0.23773339122883194,48,-0.14893328282000104,102,-0.2818872127164119,84,-0.38438644688644685,64,-0.20851685627805036,66,-0.28998682476943344,45,0.292913802221047,61,0.09076814658210006,44
snip,150,-0.363075692252989,-0.49923766347220144,-0.20357708417966783,-0.24671140939597316,4.962604018324581e-06,-0.4378452375661141,0.06575254953801793,-0.210377768128528,48,-0.4185840057449492,102,-0.31096486787486083,84,-0.20773809523809522,64,-0.375681035382528,66,-0.03399209486166008,45,-0.1025383395029085,61,0.12346723044397463,44
grad_norm,150,-0.39251344504200186,-0.5258066076482336,-0.23720933561392257,-0.2631767337807606,6.767400339139242e-07,-0.46017511889417306,0.06237114140419543,-0.1976769431176726,48,-0.4654822421134175,102,-0.3674395059228511,84,-0.2743131868131868,64,-0.4378874856486797,66,-0.04308300395256916,45,-0.09888947646747752,61,0.15799859055673007,44
plain,150,-0.4657540335126006,-0.5919207109999676,-0.3147109888263414,-0.31794183445190155,1.902823888723717e-09,-0.4725205564691765,0.5414506832202793,-0.12733391228831958,48,-0.5900277634845152,102,-0.558631163308697,84,-0.5239010989010988,64,-0.629015760359044,66,-0.23478260869565215,45,0.035483870967741936,61,0.11430584918957011,44
