score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
nwot alone (under A),150,0.053092137428330154,-0.10516242394506982,0.21952605000658587,0.03731543624161074,0.5187593819024892,-0.025303786803580416,0.01360737065910702,False
S_spatial (nwot),150,0.14145627803289576,-0.019417353590503058,0.2997887413650723,0.09934886278176908,0.08422533183680735,0.09592560853475218,0.10003037359522123,False
z_spatial (nwot),150,0.18962078194065635,0.025264260085531794,0.3424472251373004,0.13180149731769766,0.020121773942908754,0.19653466385102142,0.25307279538321353,False
composite = z(nwot) + z(S_spatial),150,0.10399573314369527,-0.06288251045812408,0.2604508850449454,0.0646979865771812,0.20534684494613728,0.07170442915222419,0.09332793358307179,False
composite = z(nwot) + z(z_spatial),150,0.14331836970532022,-0.019090864003809008,0.29771362601829165,0.0904697986577181,0.08017966344786469,0.1578108124918717,0.23096081806216465,False
