score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
snip_all alone (under A),150,-0.36227921240944044,-0.49805489184344615,-0.20213094250564,-0.24510067114093959,5.2235040115149455e-06,-0.4172043132354355,-0.3102156525260707,False
S_spatial (snip_all),150,-0.030706915890560543,-0.19928954261887707,0.14216519297061653,-0.014534001970078442,0.709131121091515,-0.23919598780275778,-0.39216361243292497,False
z_spatial (snip_all),150,-0.10281984015752099,-0.2735601320164224,0.07117293480604277,-0.07107724251120554,0.21054525700891505,-0.32940620365498063,-0.5012453174040701,False
composite = z(snip_all) + z(S_spatial),150,-0.39378283479265747,-0.5322559420507798,-0.22825801832238887,-0.261565995525727,6.182746414722911e-07,-0.4936528490084873,-0.4189733724815228,False
composite = z(snip_all) + z(z_spatial),150,-0.4192986354949109,-0.5576189436664826,-0.2515847252881486,-0.28554809843400447,9.265395947952821e-08,-0.5538164895872797,-0.5111471094461881,False
