score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
grad_norm_all alone (under A),300,-0.1264236269291881,-0.232923802977634,-0.012192816994039287,-0.0823634336677815,0.02856982727106877,-0.07122007760210897,-0.11164906029023948,False
S_spatial (grad_norm_all),300,0.2101269188169654,0.1029569157451317,0.31119370598346563,0.1458713760924147,0.0002470339736230261,-0.14032192943989766,-0.17944331117983814,False
z_spatial (grad_norm_all),300,0.14462833641987358,0.03859332904107224,0.2494547149665995,0.09827333265157574,0.012149325625376909,-0.23364309604740607,-0.30277483916360015,False
composite = z(grad_norm_all) + z(S_spatial),300,-0.06294425493616596,-0.170404459488248,0.051429162762978715,-0.03937569676700112,0.2771459396667963,-0.14130368716031408,-0.18378121187886273,False
composite = z(grad_norm_all) + z(z_spatial),300,-0.01915621284680941,-0.1304438479920003,0.09414416228383662,-0.013511705685618729,0.7410671241188402,-0.25943275544027533,-0.3281745891142483,False
