proxy,spearman,rho_with_log_params,partial_params,partial_flops,rho_test_mae,rho_val_mse,tercile_small,tercile_small_n,tercile_mid,tercile_mid_n,tercile_large,tercile_large_n
zico,0.5704507827864753,0.7098358870654119,0.6250211669018544,0.5346637184857609,0.5336072623029144,0.46226024733608145,0.5578877887788779,100,0.6398439843984398,100,0.653201320132013,100
l2_norm_all,0.5034527050300559,0.7545963844042711,0.5505154501716686,0.44148979433104807,0.4598437760419559,0.45508283425371393,0.4808760876087608,100,0.5355775577557755,100,0.6173417341734173,100
nwot,0.3389317659085101,0.3147674974166379,0.2819235769286325,0.11459771775241946,0.29632818142423806,0.3596386626518072,0.26426642664266425,100,0.2856645664566456,100,0.35548754875487537,100
flops,0.3115599062211802,0.09601528905876733,0.2914121268014089,,0.26612295692174354,0.35840353781708684,0.21618961896189617,100,0.3029342934293429,100,0.35482748274827475,100
params,0.1933314814609051,1.0,,0.17490505450060553,0.18865854065045168,0.15283503150035002,0.12507650765076506,100,0.2082328232823282,100,0.11567956795679567,100
synflow_all,0.1890216557961755,0.00044356048400537784,0.1923608040089334,0.0088583206480072,0.13824153601706685,0.2804528939210436,0.1023222322232223,100,0.21089708970897086,100,0.26558655865586556,100
grasp_all,0.17206368959655108,-0.08709252325025833,0.1990004333381482,0.20443427149190543,0.28656851742797135,-0.2102010022333581,0.27863186318631855,100,0.2028082808280828,100,0.10091809180918092,100
zen,0.11757997311081235,0.8897641084900942,-0.1539230435893732,0.08417960199557772,0.12002444471605238,0.07873687485416504,0.04909690969096909,100,-0.02328232823282328,100,-0.07000300030003,100
fisher,-0.08468405204502272,0.10966655185057611,-0.11299769997444414,-0.12316492405471172,-0.22614117934643715,0.3213915710174557,-0.18444644464446444,100,-0.1685088508850885,100,0.017557755775577555,100
plain_all,-0.09186679851998356,0.08710141223791375,-0.11398793319925776,-0.1250756119512439,-0.2366115179057545,0.33889354326159177,-0.22027002700270024,100,-0.14595859585958595,100,0.03816381638163816,100
grad_norm_all,-0.1264236269291881,0.23459638440427114,-0.1820171335237058,-0.1443131590351004,-0.23087189857665083,0.1932977033078145,-0.19956795679567957,100,-0.2526612661266126,100,-0.061038103810381036,100
snip_all,-0.136258402871143,0.2693243258258425,-0.19843509372326357,-0.13540594895498836,-0.22001444460494005,0.1267694085489839,-0.17455745574557455,100,-0.29558955895589556,100,-0.07809180918091808,100
jacov,-0.2853209480105334,0.1314761275125279,-0.31906976744186044,-0.13242947143857153,-0.24921565795175502,-0.31673907487860975,-0.18419441944194417,100,-0.42077407740774075,100,-0.29869786978697865,100
