base,controls n,controls max |z|,uses-A n,uses-A median z,uses-A min z,uses-A max z,uses-A |z|>3,uses-A score(A) > perm mean
nwot,132,0.0,168,21.244423724177732,0.05181017785982626,53.558160005137175,167,168
zico,132,0.0,168,1.837692539966579,-1.3664210279275515,10.698148403403149,44,155
grad_norm_all,132,0.0,168,8.821236306834388,-3.5021444543554123,26.16151512974686,145,164
snip_all,132,0.0,168,5.9411265784186345,-4.992984870640813,24.965813606307382,123,165
