score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
nwot alone (under A),50,0.16821128451380551,-0.14196235538699212,0.43648595567775433,0.11183673469387755,0.24293095927614594,0.04996180290297937,0.046524356869184456,False
S_spatial (nwot),50,0.009990046067945096,-0.2650137701165642,0.26727889182163983,-0.0054373841116761535,0.9451048243079903,-0.18108069672603677,-0.12151067323481116,False
z_spatial (nwot),50,0.08499069343231683,-0.19273879810244038,0.3391458538618102,0.056186302487320254,0.5573125128240174,-0.017158238606866428,0.12862616310892172,False
composite = z(nwot) + z(S_spatial),50,0.09675870348139255,-0.19889198580794865,0.34365344542230963,0.04653061224489796,0.5038442110912846,-0.13185637891520244,-0.10454296661193212,False
composite = z(nwot) + z(z_spatial),50,0.16014405762304923,-0.11715659990222071,0.4039968129836501,0.09714285714285714,0.26659559008003875,0.012070282658517952,0.11330049261083742,False
