proxy,n,spearman,ci_lo,ci_hi,kendall,p,partial_params,seed_cv,graph-blind,graph-blind (n),has graph,has graph (n),uses A,uses A (n),gcn (incl. mixed),gcn (incl. mixed) (n),diffusion (incl. mixed),diffusion (incl. mixed) (n),head=mse,head=mse (n),head=mae,head=mae (n),head=quantile,head=quantile (n)
tfas_zico_cl,300,0.5091985466505183,0.4122101504048745,0.5929193689668938,0.35210702341137123,3.4018783459905264e-21,0.6022880254225047,0.004055631406089914,0.4104177970699946,96,0.533395056929416,204,0.506410678220904,168,0.49176036866359435,125,0.526935737798769,136,0.7007668521954237,99,0.542748980780431,101,0.43054305430543055,100
l2_norm,300,0.3830278114201269,0.27391335201505024,0.48640405913361406,0.26376811594202904,6.405710724432381e-12,0.4322590251002789,0.0007596967001431169,0.27129679869777534,96,0.44377239541737634,204,0.4185694544975983,168,0.41316743471582174,125,0.44281761366347017,136,0.6053184910327768,99,0.435165987186954,101,0.3056825682568256,100
synflow,300,0.21087967644084935,0.10047845459460966,0.3190313172224267,0.1415830546265329,0.00023438104316839475,0.2162677363081812,0.026491516367303458,0.1670103092783505,96,0.021146221314429895,204,0.037024007774813864,168,0.07874039938556066,125,0.02245598969514813,136,0.14066790352504638,99,0.29833430401863714,101,0.30511851185118505,100
plain,300,-0.08038978210869009,-0.1913806190153179,0.03290111232956141,-0.048383500557413604,0.16488512451505635,-0.09657396193291035,0.5427517675981399,0.05477482365708085,96,-0.1031542642288202,204,-0.15219856145696775,168,-0.06044239631336404,125,-0.1633509851629216,136,0.06829931972789115,99,-0.0011997670355270822,101,0.20063606360636063,100
grasp,300,-0.08531783686485406,-0.19437163483816397,0.029880815606709302,-0.05449275362318841,0.1404093193603349,-0.10488960988455427,0.6889272210138273,-0.040626695604991866,96,0.1833586588546268,204,0.22619089800112374,168,0.21399078341013825,125,0.22752731262821424,136,-0.07609152752009894,99,-0.41014560279557366,101,-0.26804680468046804,100
grad_norm,300,-0.13351837242636028,-0.23984615729821884,-0.019738357077792194,-0.08713489409141584,0.02070512569691745,-0.18988210980121997,0.06040446992313693,-0.06903147042864895,96,-0.07460969248927493,204,-0.1133346156377018,168,-0.04029493087557603,125,-0.13778922761318638,136,-0.037575757575757575,99,-0.20258590564938847,101,-0.0407080708070807,100
snip,300,-0.13867887420971345,-0.24762974764542486,-0.026783521786588344,-0.09088071348940915,0.01623514254877842,-0.2006688963210702,0.05683835141640152,-0.08644872490504611,96,-0.05023075672657625,204,-0.08507752036079998,168,-0.010685099846390168,125,-0.10863508420399788,136,-0.06291898577612862,99,-0.23756552125800814,101,-0.06587458745874587,100
