score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
zico alone (under A),300,0.5704507827864753,0.48003139725504357,0.6499099892852174,0.39790412486064664,2.7030263908023094e-27,0.6199730018163699,0.5788161631091158,False
S_spatial (zico),300,0.2770683343251642,0.17654362835857684,0.3750162788879998,0.1992764800990286,1.0897606931746245e-06,0.013358424865087001,0.04597314247245156,False
z_spatial (zico),300,0.1306289054574519,0.018443662461353885,0.2408345207529359,0.09062985122311987,0.023646917935896173,-0.17438382215918313,-0.2078598508814999,False
composite = z(zico) + z(S_spatial),300,0.5548728319203546,0.4684543451914525,0.6318580981891149,0.38782608695652177,1.2698307576668643e-25,0.4267324423461563,0.4577700052135797,False
composite = z(zico) + z(z_spatial),300,0.4868094089934332,0.39312105421295723,0.5706764920322568,0.3325306577480491,2.9520899483376853e-19,0.3149726837749398,0.2994973704324234,False
