score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
snip_all alone (under A),300,-0.136258402871143,-0.2445362710216355,-0.024473382339541338,-0.08914158305462655,0.018214176360770835,-0.0484666869270837,-0.0826352367116992,False
S_spatial (snip_all),300,0.21206974820103572,0.10598758603100547,0.31576351650137097,0.1468640360181882,0.000215605382577562,-0.13655727598966994,-0.1735944847414217,False
z_spatial (snip_all),300,0.14737878060172288,0.04133683862805857,0.2532075521682104,0.097777002688689,0.010588586226739855,-0.24419149626449743,-0.3229964416053776,False
composite = z(snip_all) + z(S_spatial),300,-0.0859773997488861,-0.19426401063619936,0.02693401777117177,-0.056187290969899675,0.13735643391762695,-0.1434932257175368,-0.1821817059034931,False
composite = z(snip_all) + z(z_spatial),300,-0.06879898665540728,-0.1780863500474745,0.047030146989634834,-0.04807134894091416,0.2348070438831333,-0.2751058371203822,-0.3461411918344208,False
