score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
nwot alone (under A),300,0.3389317659085101,0.24045112310533104,0.43008472384656776,0.22733556298773694,1.6886561291294091e-09,0.0891816440621665,0.10087517273146018,False
S_spatial (nwot),300,0.24471216287283296,0.13778003305811798,0.345575596992499,0.16785879344829757,1.8176395434156594e-05,-0.07513502726520922,-0.08308573048324315,False
z_spatial (nwot),300,0.26891272597313903,0.16085441831396582,0.37053974758819636,0.19004474278933514,2.2944608462912356e-06,-0.013454809064866926,0.005474258583424867,False
composite = z(nwot) + z(S_spatial),300,0.2967321859131768,0.19694325540406918,0.3936426672186118,0.1924191750278707,1.6364462257072356e-07,-0.03516407404004495,-0.04315376010447407,False
composite = z(nwot) + z(z_spatial),300,0.32072311914576823,0.21698240384633535,0.4175146113231486,0.21212931995540693,1.3257070483829691e-08,0.02764274759525341,0.043399253901326686,False
