arch_id,val_mae,val_mse,test_mae,test_mse,test_rmse,params,flops,train_seconds,epochs_run,best_epoch,peak_mem_gb,graph_family,has_graph,uses_A,group3,seq_family,flat_family,head,decoder,val_mae_seed1,val_mae_seed2,params_seedstd,flops_seedstd,l2_norm,l2_norm_seedstd,l2_norm_all,l2_norm_all_seedstd,grad_norm,grad_norm_seedstd,grad_norm_all,grad_norm_all_seedstd,snip,snip_seedstd,snip_all,snip_all_seedstd,plain,plain_seedstd,plain_all,plain_all_seedstd,fisher,fisher_seedstd,synflow,synflow_seedstd,synflow_all,synflow_all_seedstd,jacov,jacov_seedstd,nwot,nwot_seedstd,zen,zen_seedstd,grasp,grasp_seedstd,grasp_all,grasp_all_seedstd,zico,zico_seedstd,tfas_zico_cl,tfas_zico_cl_seedstd,S_spatial_nwot,z_spatial_nwot,nwot_underA_v2,nwot_permmean,S_spatial_zico,z_spatial_zico,zico_underA_v2,zico_permmean,S_spatial_grad_norm_all,z_spatial_grad_norm_all,grad_norm_all_underA_v2,grad_norm_all_permmean,S_spatial_snip_all,z_spatial_snip_all,snip_all_underA_v2,snip_all_permmean
c84e311c72,0.17568535967841767,0.07339691061699727,0.17533297405859968,0.07439242215557781,0.27274974272321106,958503.0,15127304192.0,348.0,20,19,0.866,none,False,False,graph-blind,tcn,nbeats_s,mae,linear,0.17614130892224023,0.17605984252171472,0.0,0.0,294.2340770959854,0.2509649591142849,755.3655189176401,0.36759372095006737,6.233671809651544,0.48601912077628656,6.562637812821326,0.5023836155375817,22.80435804537603,1.4646195307661292,24.571324670121555,1.7158754563931413,0.05803036317200572,0.03291791167200794,0.1192179623834916,0.07368351059565569,5.254559772725907e-05,1.214293260641709e-05,5077248.123025115,36031.7566256144,8474802.622838972,61378.14472385093,-32.150841386522835,0.03328659986496975,416.80149860234184,0.235486812595596,63.610685308774315,0.06556343691254563,0.4585765931311394,0.089317147930196,-1.8894569710940967,0.5567897949693988,1055.207874652098,1.9314846125065286,467.7907002766927,0.7701445192988629,0.0,0.0,416.8031513270857,416.8031513270857,0.0,0.0,1057.4505784829628,1057.4505784829628,0.0,0.0,6.574557823939256,6.574557823939256,0.0,0.0,24.631519119429377,24.631519119429377
b03341cf63,0.17125015191233509,0.06984397930618623,0.17187201471621327,0.07131972629237436,0.2670575336746267,794189.0,74083362408.0,468.7,20,19,3.095,gcn,True,True,uses A,transformer,skip_connection,quantile,linear,0.17105158556290073,0.17151049278909694,0.0,0.0,326.654155343771,0.17050870952411482,967.2361336752462,1.8950233739549394,1.3759029822443456,0.07114962228651975,1.4702989021881905,0.06666835180622485,4.326308526650366,0.21388235275629794,4.674119808947989,0.21895886879860157,-0.002166470109222397,0.008842361521748016,0.00037067944566800126,0.013305979911684406,2.131173084037465e-06,1.886631957924277e-07,21478603.45369184,506813.43847214646,29633275.38597982,602406.4280822793,-791.0726516394393,242.46495789767124,444.8359050888548,1.1753677275919856,47.304524090554985,0.20845210116414356,-0.016692803706981476,0.010851591567087803,-0.13434586670549506,0.005197313695506719,1195.8534058187724,26.400097749912057,522.4081013997396,5.540736480898902,0.13405381888077272,30.150657485928853,444.8389117282565,444.70485790937573,0.42590043298658503,2.719805825105698,1200.347998854145,1199.9220984211584,0.000732441414938186,5.278767585952423,1.4648740737983519,1.4641416323834138,0.001167094687848369,4.53504002438041,4.659553111321705,4.658386016633856
cc90fff21b,0.17299120969882456,0.06960835310326852,0.17340738700198086,0.07147446970929497,0.26734709594326056,1297563.0,21846188032.0,406.5,20,18,0.877,none,False,False,graph-blind,lstm,nbeats_t,mse,seq,0.1729562282652813,0.17248205088964172,0.0,0.0,336.18853493531543,0.23436011536668547,1048.5107593337696,0.4425026816299241,4.256995473231655,0.3295780635701451,4.636119769987591,0.3528066102186391,11.439365085155806,1.2063072232666892,12.406917092760315,1.252554042978482,0.11905401849882592,0.06551105028094961,0.18100072302033396,0.07562572903890721,5.54386181234689e-05,5.098666211986417e-06,19474528.560702417,212749.5019411432,29296790.485714618,300963.7066579826,-44.997478716371695,3.912825571850065,429.488404407951,0.12943016832910578,81.42200909720528,0.13514534352013438,-0.3796824661671247,0.022374634771701676,-0.784525457782375,0.09356726196140337,1502.1887849810682,9.194209046920882,635.7283121744791,1.8871489340023502,0.0,0.0,429.4982704656859,429.4982704656859,0.0,0.0,1501.880711322926,1501.880711322926,0.0,0.0,4.643447508677084,4.643447508677084,0.0,0.0,12.441246407040703,12.441246407040703
a9791b6804,0.17400317253113082,0.06946221127567302,0.17515090278113307,0.07177633954209807,0.2679110664793414,737671.0,197070577256.0,627.9,20,19,4.532,mixed,True,True,uses A,mlp_mix,mlp,mse,linear,0.17521441896086368,0.1744737771235857,0.0,0.0,271.3051881988843,0.25139898654919807,928.0838310271502,0.581370590368642,8.82789149567058,0.6223458313514416,9.535418808527908,0.7934180696138786,28.095499357043124,2.2491194600406756,30.701897201248087,2.5765382241453203,0.054323353928592645,0.01693800030047401,0.12191489670548146,0.013222173927617015,9.863479434480274e-05,6.607215786409933e-06,100765425.0472707,4265200.38012557,104245081.42819361,4119601.730592402,-417.0148318181141,112.12280384234944,459.29616495586725,1.3578561957776978,74.57670340273114,0.09422018205989517,0.19350855710409384,0.2900260014390344,-4.179600477324929,0.5706907313390435,1125.2234007228528,4.025751759157491,500.4015401204427,1.4378574612632105,0.3287149954399145,40.61067592171931,459.2994272800593,458.9707122846194,0.932829488525158,2.2706680686196856,1125.7167203760791,1124.783890887554,0.019998989956272695,13.958180992322504,9.489381422892768,9.47086963867151,0.030192892381170584,12.11042205420312,30.535206659882448,30.513800367416337
3e2c83ccf5,0.17267359361681883,0.07068806794757576,0.17315443001352568,0.07203600875227593,0.2683952472609676,1467143.0,210929483368.0,619.1,20,17,5.032,mixed,True,True,uses A,tcn,nbeats_s,mae,linear,0.17234007210055588,0.17283840323519611,0.0,0.0,401.4446842769782,0.6753158541863588,1131.1249514520168,1.4048364809183966,8.357455272211155,0.11785446739862962,8.894962493319843,0.08689140947924953,29.992750146282088,0.9930585883744498,32.429553730459304,0.8880412329424943,0.02879624369802992,0.03089183803006581,0.0631792019965627,0.05960845541049079,5.254626220559127e-05,1.0858268139104767e-05,40479511.87028887,5326305.221652354,46359951.716634184,6088507.03500068,-197.68554926254055,81.2590037478859,465.17018802436564,0.8541562690462974,81.94847712251874,0.1933220154816642,0.010837686051973735,0.16914746204533174,-3.6697316465660186,0.7183150489406943,1371.285515119321,4.584300629779011,718.3097941080729,1.3740849668307558,0.24415827040826343,35.214198471635505,465.17049905464523,464.92634078423697,0.9382318511488847,2.555490034399233,1368.1685293336916,1367.2302974825427,0.001636007768035815,1.402199202146947,8.853722073449418,8.852086065681382,0.00554711188584515,0.4970539478425173,32.24482363484193,32.24424225725714
68a8b816fb,0.17300474028824964,0.07159150506598143,0.17290962204101742,0.07285232087857524,0.26991169088902994,424711.0,4430778368.0,296.8,20,19,0.355,none,False,False,graph-blind,mlp_mix,skip_connection,mae,linear,,,0.0,0.0,243.74036343892416,0.3793730421478148,562.7556832432747,0.8011110244159494,3.1059163421911458,0.1090047749634119,3.27554204577813,0.1225845334851834,10.56069408995563,0.5397116586491404,11.37905725658784,0.5790661327867968,0.01875944926030604,0.0031430240155612046,0.04001413854209283,0.0018293201009321857,1.1325430604472061e-05,2.123907077458125e-06,15621593.887451774,301935.38394209725,22328175.567749884,478677.50753616943,-32.68163811527277,0.06946284910918477,385.9001930667296,0.3597614698723941,23.764535837703278,0.07622236751354983,0.09070999752814816,0.0368272460559958,-1.1130964906067482,0.14682820446503558,908.3012305984508,8.697844715274098,377.6454366048177,1.2570881313489872,0.0,0.0,385.9024540828376,385.9024540828376,0.0,0.0,906.9112523850457,906.9112523850457,0.0,0.0,3.271498778247038,3.271498778247038,0.0,0.0,11.375625679341523,11.375625679341523
c459cd39c9,0.17539449187804412,0.07282221716195028,0.1749657858547869,0.07368310789870752,0.27144632599964863,823377.0,360946901812.0,753.4,20,19,4.544,diffusion,True,True,uses A,lstm,nbeats_s,quantile,linear,,,0.0,0.0,330.6803879737854,0.2818181982645951,935.0718420657018,1.1075526026676208,3.0795857489089635,0.266131093102811,3.282567334314306,0.2856098721813256,10.725195248521935,0.5328994371018672,11.607039621743022,0.557384578268262,0.030901902620078803,0.018062105396930244,0.039511960166071634,0.014494967501080192,9.928208311352424e-06,1.135052176951037e-06,255481969.41179764,26464436.17704966,264514024.62618887,27432244.160960734,-259.644028074775,92.09540171555234,456.87230727206435,2.196330292140172,54.28549806276957,0.1225771370844504,0.009686103958604968,0.032260907144687975,-0.4889379539021628,0.08402111795477141,1257.3263318467286,23.072393442876812,565.5325927734375,12.456468092835774,0.11056729604916882,7.054908049906363,456.8735664720005,456.76299917595134,1.0579825960060891,2.273403302156609,1255.5292651075429,1254.4712825115369,0.00701420840886291,9.182227392822336,3.280206708622241,3.273192500213378,0.010601729189254764,6.615259467677897,11.59435240060502,11.583750671415764
65d064eb3d,0.1717963199671986,0.06994981864544803,0.17230915624924448,0.0714983249203113,0.2673917069026474,862065.0,115980198708.0,497.6,20,19,3.585,diffusion,True,True,uses A,tcn,nbeats_s,quantile,linear,,,0.0,0.0,330.31656767924625,0.3914284673104273,935.2282458506525,1.1980777389371293,1.8518357854121252,0.10324320685616827,1.9670076344005194,0.1019521989469948,6.379603403715342,0.33847799804364903,6.9075548210726225,0.39793594152309136,0.008174014852304201,0.0009504511899425178,0.02273495732281126,0.004811311057551665,4.271322846016329e-06,6.632689273038297e-07,12724282.573927363,270119.11995390063,16666123.268233642,336204.2408325494,-175.89831449264815,85.67971737719743,437.21212116659325,0.5213150667123843,53.99889441331228,0.1530729073335577,0.003032659536317525,0.010030325483509364,-0.1529485995146707,0.03375058357612557,1175.3418849029636,6.824646523060973,532.7242024739584,1.03034061295248,0.07380877885115449,13.994095032812286,437.2118071186853,437.1379983398341,0.6465244213817792,1.6078414556870466,1175.5471214057634,1174.9005969843815,0.0014595842899901938,6.093428843503333,1.9637142808369072,1.962254696546917,0.0017069169300860665,2.349026991920974,6.894774987888439,6.8930680709583525
3c8cf00e9f,0.17364838600738255,0.07146113632805476,0.17424168894893488,0.07304940991022173,0.2702765433962439,378053.0,189470990336.0,499.4,20,19,4.047,mixed,True,True,uses A,transformer,mlp,quantile,linear,,,0.0,0.0,221.34926917155585,0.19003038304694314,447.971433246353,0.38870723160869275,0.4713012662929638,0.04756308965224981,0.5021413361304158,0.052903115353236135,1.0292974514349835,0.1343359398522512,1.0892002352771197,0.14441136761158432,0.0009408102810295778,0.005035216967371515,0.000637875701004559,0.006229559935624152,4.009170078018597e-07,2.8045177598112613e-08,18596499.83648785,626764.218627334,25481862.539885182,645658.6693636574,-1059.8413362725412,847.3057563128441,434.33869726563125,1.4898519993290302,33.53038256698184,0.08447816594864041,-0.012218142718755534,0.004849695672196565,-0.01645909882868619,0.005156835077005981,790.4549513291139,8.815530920518992,379.3448994954427,2.9057647486617686,0.33681001332073873,17.378405131687032,434.3382118351467,434.00140182182594,1.1911158095330923,3.1425794585022917,789.8293745485774,788.6382587390443,0.002159726573202736,13.368322435100362,0.5021141622976644,0.4999544357244617,0.0030837909791443887,11.876396811921898,1.0895085687031594,1.086424777724015
8720c84fee,0.17179861791099107,0.06859030070836622,0.17275565382849112,0.07045415903861439,0.2654320233856766,1364363.0,125596168192.0,587.5,20,16,3.1,mixed,True,True,uses A,lstm,nbeats_t,mse,seq,,,0.0,0.0,420.688875451684,0.36561945377522936,1269.3964881400268,0.35776725680417903,10.049566801639836,0.789508642819567,10.818278338064067,0.8451379592260582,34.66957057351468,3.1623337745475406,37.72325830057297,3.4893138940064117,0.13918678256048603,0.05173705310157239,0.27190622447747415,0.07965890921716424,9.509984668832688e-05,5.16256583715746e-06,18547847.89043194,361764.903310918,26186470.003846306,594544.3749038832,-108.46291728257636,34.027818837267596,447.7462527388539,0.6961561151200085,96.55137700504729,0.0728920922161808,0.2509217722051154,0.2866927088659253,-3.2839145998373236,1.0619326876836355,1876.1587490872582,2.698994954103554,803.8271280924479,2.702975647689155,0.160090616495116,23.2422486753616,447.74811570016834,447.58802508367324,0.20611807228101497,0.8631442859932427,1874.1192498955625,1873.9131318232814,0.005144544360125754,2.668022093893621,10.783996734989099,10.780362739473356,0.007549014542253947,3.1167912086022023,37.580889742657995,37.575548063341095
