score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
grad_norm_all alone (under A),50,-0.2772148859543817,-0.5352825702287978,0.00823996199414838,-0.2146938775510204,0.05129401809318726,-0.32742551566080974,-0.3284072249589491,False
S_spatial (grad_norm_all),50,-0.16546327557762333,-0.46588074460814843,0.11502945251549088,-0.12868475730966894,0.25082576771103565,-0.24481129726582634,-0.2463054187192118,False
z_spatial (grad_norm_all),50,-0.13012160506589796,-0.4258444285947335,0.15076998420976737,-0.08881060715737717,0.3677668601789783,-0.1577945157595752,-0.12151067323481116,False
composite = z(grad_norm_all) + z(S_spatial),50,-0.28134453781512603,-0.5438266710852141,0.005048792047470976,-0.20653061224489797,0.04778572213045923,-0.3298701298701298,-0.29885057471264365,False
composite = z(grad_norm_all) + z(z_spatial),50,-0.2887394957983193,-0.5764755337722189,0.010335361590117333,-0.2179591836734694,0.041992391552200685,-0.36653934300993124,-0.29666119321291734,False
