proxy,spearman,rho_with_log_params,partial_params,partial_flops,rho_test_mae,rho_val_mse,tercile_small,tercile_small_n,tercile_mid,tercile_mid_n,tercile_large,tercile_large_n
zico,0.71015606242497,0.7882352941176471,0.5604321728691476,0.7109243697478992,0.7002641056422568,0.7595198079231693,0.29901960784313725,17,0.6764705882352942,16,0.6225490196078433,17
l2_norm_all,0.5931812725090035,0.8454741896758703,0.3663385354141656,0.6437935174069627,0.5749339735894358,0.6360144057623048,0.12745098039215688,17,0.1764705882352941,16,0.6642156862745099,17
params,0.5072268907563025,0.9999999999999999,,0.5148139255702281,0.5005042016806722,0.5056902761104441,0.05147058823529412,17,0.22352941176470587,16,0.22549019607843138,17
grasp_all,0.3048739495798319,-0.11654261704681872,0.467563025210084,0.3093877551020408,0.3137094837935174,-0.010036014405762305,0.24509803921568632,17,0.3411764705882353,16,0.6862745098039217,17
zen,0.3020888355342137,0.8716926770708282,-0.2869147659063625,0.29411764705882354,0.32292917166866747,0.3372388955582233,-0.23529411764705882,17,-0.2647058823529412,16,0.11274509803921569,17
nwot,0.026074429771908762,0.3344537815126051,-0.22180072028811523,0.0823529411764706,0.027418967587034812,0.0658343337334934,0.08823529411764706,17,-0.31764705882352945,16,-0.32352941176470595,17
flops,-0.03404561824729892,0.12547418967587035,-0.10309723889555823,,-0.05430972388955582,0.0036974789915966387,0.1519607843137255,17,-0.2588235294117647,16,-0.24754901960784317,17
synflow_all,-0.10415366146458584,0.051236494597839126,-0.10837935174069627,-0.10885954381752701,-0.12345738295318126,4.801920768307323e-05,0.07843137254901962,17,-0.3205882352941176,16,-0.17892156862745098,17
jacov,-0.14660264105642254,0.10213685474189677,-0.24369747899159666,-0.2033613445378151,-0.10088835534213686,-0.1483313325330132,-0.1519607843137255,17,-0.3,16,-0.10784313725490197,17
plain_all,-0.15294117647058825,0.14247298919567825,-0.2777911164465786,-0.1574549819927971,-0.2074909963985594,0.2028811524609844,-0.31127450980392163,17,-0.3911764705882353,16,-0.16911764705882354,17
fisher,-0.26280912364945974,0.19414165666266506,-0.46295318127250895,-0.2740456182472989,-0.30679471788715484,0.07063625450180072,-0.2034313725490196,17,-0.4705882352941176,16,-0.7426470588235294,17
grad_norm_all,-0.2772148859543817,0.23572629051620647,-0.5064585834333732,-0.28172869147659063,-0.2930612244897959,0.016182472989195677,-0.21078431372549022,17,-0.4088235294117647,16,-0.7426470588235294,17
snip_all,-0.2901800720288115,0.22717887154861943,-0.5169267707082833,-0.2943097238895558,-0.2901800720288115,-0.015126050420168066,-0.19607843137254904,17,-0.4088235294117647,16,-0.7794117647058825,17
