proxy,n,spearman,ci_lo,ci_hi,kendall,p,partial_params,seed_cv,graph-blind,graph-blind (n),has graph,has graph (n),uses A,uses A (n),gcn (incl. mixed),gcn (incl. mixed) (n),diffusion (incl. mixed),diffusion (incl. mixed) (n),head=mse,head=mse (n),head=mae,head=mae (n),head=quantile,head=quantile (n)
tfas_zico_cl,50,0.682016806722689,0.4691228138149946,0.815064064240348,0.506938775510204,4.936290292904149e-08,0.52797118847539,0.004041715505753652,0.8676470588235294,16,0.6039724980901451,34,0.5161466885604816,28,0.5684210526315789,19,0.5076923076923078,25,0.825563909774436,20,0.4153846153846154,14,0.8735294117647058,16
l2_norm,50,0.6648259303721488,0.45651081420057676,0.7967489786220786,0.4742857142857143,1.3973998438707e-07,0.49224489795918364,0.0007753677891612367,0.8382352941176471,16,0.5905271199388846,34,0.5210727969348659,28,0.5368421052631579,19,0.5184615384615384,25,0.7578947368421052,20,0.3406593406593406,14,0.8088235294117646,16
synflow,50,-0.07361344537815126,-0.38797578438121894,0.2349468571153753,-0.06285714285714286,0.6114180800534647,-0.0739015606242497,0.02286712439331422,0.2588235294117647,16,-0.2965622612681436,34,-0.19376026272577995,28,0.11578947368421051,19,-0.2846153846153846,25,-0.30526315789473685,20,0.0945054945054945,14,0.06470588235294117,16
grasp,50,-0.07975990396158462,-0.36498117232858707,0.22623110118863704,-0.05142857142857143,0.5819070336441937,-0.17282112845138053,0.6544606407517948,-0.19411764705882353,16,-0.056073338426279595,34,0.014230979748221127,28,-0.06315789473684211,19,0.049999999999999996,25,0.006015037593984962,20,-0.3538461538461538,14,0.21176470588235297,16
plain,50,-0.1328691476590636,-0.3965919491679014,0.17611271984955376,-0.10040816326530612,0.3576507160616059,-0.26415366146458585,0.29279022181308845,0.0029411764705882353,16,-0.2354469060351413,34,-0.25725232621784344,28,-0.07894736842105264,19,-0.2792307692307692,25,-0.27368421052631575,20,-0.06373626373626373,14,0.18823529411764706,16
grad_norm,50,-0.2906602641056423,-0.5490444538898843,-0.013407028948993966,-0.22285714285714286,0.04058573968288237,-0.5203841536614646,0.056599040616009816,-0.29705882352941176,16,-0.33139801375095496,34,-0.3262178434592227,28,-0.29473684210526313,19,-0.3146153846153846,25,-0.40751879699248117,20,-0.7098901098901099,14,0.08529411764705883,16
snip,50,-0.29728691476590635,-0.5518775334673618,-0.014701653679824617,-0.22285714285714286,0.036026570242682056,-0.5275870348139255,0.06236328629946319,-0.3235294117647059,16,-0.3255920550038197,34,-0.3158182813355227,28,-0.29473684210526313,19,-0.33384615384615385,25,-0.4120300751879699,20,-0.7098901098901099,14,0.10588235294117648,16
