base,controls n,controls max |z|,uses-A n,uses-A median z,uses-A min z,uses-A max z,uses-A |z|>3,uses-A score(A) > perm mean
nwot,22,0.0,28,18.545165604510075,3.000263463756382,49.200501168808124,28,28
zico,22,0.0,28,1.4079304768947822,-1.330329927155969,5.938228104069099,6,26
grad_norm_all,22,0.0,28,7.618094630963394,-0.3907106718539555,24.679892636252944,21,27
snip_all,22,0.0,28,5.836006013685978,0.1436093263856532,25.897748302482132,16,28
