score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
nwot alone (under A),50,0.026074429771908762,-0.2734951485540309,0.30799825519267937,0.008979591836734694,0.8573557532345867,0.025210084033613443,0.0180623973727422,False
S_spatial (nwot),50,-0.14568398838782248,-0.41234571490427896,0.11050380438899644,-0.10512275949240563,0.312742249877727,-0.19211099297330805,-0.157088122605364,False
z_spatial (nwot),50,-0.10943869561869503,-0.39171012329012433,0.16023208993733312,-0.07974830030458357,0.4493181462613012,-0.1259292154896804,-0.044882320744389706,False
composite = z(nwot) + z(S_spatial),50,-0.06881152460984392,-0.3426581015498923,0.1926822314143211,-0.05306122448979592,0.6349097988988524,-0.1657754010695187,-0.16146688560481665,False
composite = z(nwot) + z(z_spatial),50,-0.027611044417767107,-0.31336192020623704,0.24082781127581301,-0.023673469387755105,0.8490445839756111,-0.08326967150496561,-0.025725232621784347,False
