score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
snip_all alone (under A),50,-0.2901800720288115,-0.5457656328501986,-0.008060034891084167,-0.22122448979591836,0.040933724138837814,-0.31673032849503435,-0.3147235905856595,False
S_spatial (snip_all),50,-0.12510148141366423,-0.42307287287633927,0.1583457764988751,-0.0924355298984946,0.38669048181966953,-0.1599392955854335,-0.11439518336070059,False
z_spatial (snip_all),50,-0.1374509855981592,-0.43886100514320087,0.14540767933359325,-0.09968537538072947,0.34116261278346255,-0.18138709384401655,-0.1538040503557745,False
composite = z(snip_all) + z(S_spatial),50,-0.29968787515006,-0.5572125340236267,-0.022036947957774295,-0.20979591836734693,0.03448279069653632,-0.33750954927425514,-0.2851669403393541,False
composite = z(snip_all) + z(z_spatial),50,-0.34175270108043215,-0.6035839855423304,-0.046257269082398154,-0.2440816326530612,0.015137734473336748,-0.40229182582123757,-0.38368910782703886,False
