score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
zico alone (under A),50,0.71015606242497,0.5225206645240011,0.8217533891606893,0.506938775510204,7.661863157405258e-09,0.6241405653170359,0.5270935960591133,False
S_spatial (zico),50,-0.20773271672943122,-0.47646812413158224,0.06427076975814264,-0.13774706416246255,0.14773332188193847,-0.3229425623506646,-0.37055281882868085,False
z_spatial (zico),50,-0.1592383222488535,-0.4256855264683625,0.134219887985504,-0.11237260497464051,0.26934519089552655,-0.2619695358726928,-0.30158730158730157,False
composite = z(zico) + z(S_spatial),50,0.30929171668667466,0.012999335848318465,0.5576898241308605,0.22775510204081634,0.02884438870660877,0.1636363636363636,0.18500273672687464,False
composite = z(zico) + z(z_spatial),50,0.39831932773109247,0.12095220273042512,0.6200434287086163,0.283265306122449,0.0041713612862656745,0.25317035905271196,0.2386425834701697,False
