proxy,PEMS04-12 n,PEMS04-12 spearman,PEMS04-12 ci_lo,PEMS04-12 ci_hi,PEMS04-12 partial_params,PEMS08-12 n,PEMS08-12 spearman,PEMS08-12 ci_lo,PEMS08-12 ci_hi,PEMS08-12 partial_params,PEMS04-36 n,PEMS04-36 spearman,PEMS04-36 ci_lo,PEMS04-36 ci_hi,PEMS04-36 partial_params,METRLA-12 n,METRLA-12 spearman,METRLA-12 ci_lo,METRLA-12 ci_hi,METRLA-12 partial_params
nwot,300,0.3389317659085101,0.240451123105331,0.4300847238465677,0.2819235769286325,150,0.0530921374283301,-0.1051624239450698,0.2195260500065858,0.0126032268100804,50,0.0260744297719087,-0.2734951485540309,0.3079982551926793,-0.2218007202881152,50,0.0542136854741896,-0.2457467225810959,0.3367283940959514,0.0443217286914765
zico,300,0.5704507827864753,0.4800313972550435,0.6499099892852174,0.6250211669018544,150,0.3161153829059069,0.1528406787236129,0.4622732190060719,0.3494395306458065,50,0.71015606242497,0.5225206645240011,0.8217533891606893,0.5604321728691476,50,-0.0880192076830732,-0.3635147251662706,0.1963559829198224,-0.0706362545018007
synflow_all,300,0.1890216557961755,0.0760013274678823,0.3017308310380748,0.1923608040089334,150,-0.0093426374505533,-0.1812113011694503,0.168738392554164,-0.0101853415707364,50,-0.1041536614645858,-0.4152965911852019,0.2045502393534126,-0.1083793517406962,50,-0.230828331332533,-0.4823768222582829,0.0489758666506838,-0.1973109243697478
snip_all,300,-0.136258402871143,-0.2445362710216355,-0.0244733823395413,-0.1984350937232635,150,-0.3622792124094404,-0.4980548918434461,-0.20213094250564,-0.438055024667763,50,-0.2901800720288115,-0.5457656328501986,-0.0080600348910841,-0.5169267707082833,50,-0.3890996398559423,-0.6228808476501086,-0.0828739362971755,-0.3946698679471788
grad_norm_all,300,-0.1264236269291881,-0.232923802977634,-0.0121928169940392,-0.1820171335237058,150,-0.3969474198853283,-0.531398197024378,-0.2387918387184765,-0.466337170540913,50,-0.2772148859543817,-0.5352825702287978,0.0082399619941483,-0.5064585834333732,50,-0.4412484993997599,-0.6625700819180962,-0.1462016126853309,-0.4351980792316926
grasp_all,300,0.172063689596551,0.0576139981977432,0.2776556446253172,0.1990004333381482,150,0.4701595626472288,0.3154821271716232,0.5971912158889603,0.502729899106627,50,0.3048739495798319,0.0160549395081457,0.5592709613059911,0.467563025210084,50,0.4347178871548619,0.1528244143035914,0.6432340085958396,0.4170468187274909
plain_all,300,-0.0918667985199835,-0.2011733060676223,0.0225032652684807,-0.1139879331992577,150,-0.467862571669852,-0.5940478207156175,-0.3178154372341937,-0.4848019911996089,50,-0.1529411764705882,-0.4153544376632401,0.1459143682928078,-0.2777911164465786,50,-0.4526770708283313,-0.653015933451033,-0.2009296453134886,-0.4575750300120048
fisher,300,-0.0846840520450227,-0.191644224984924,0.0265787026134663,-0.1129976999744441,150,-0.4437939463976176,-0.5768004658729605,-0.2905377103727941,-0.4725987821680963,50,-0.2628091236494597,-0.5316389828423148,0.0263868772609184,-0.4629531812725089,50,-0.5477551020408163,-0.7249264209278238,-0.2793653572429011,-0.5532292917166867
jacov,300,-0.2853209480105334,-0.3901514290282247,-0.175600578980046,-0.3190697674418604,150,-0.0990177341215165,-0.2545494026159981,0.0667633797876687,-0.1201600071114271,50,-0.1466026410564225,-0.3988090210227314,0.1505675097943155,-0.2436974789915966,50,-0.045954381752701,-0.3135318903684979,0.2296075760251358,-0.0496998799519807
zen,300,0.1175799731108123,0.0042961299942587,0.2369566689898012,-0.1539230435893732,150,0.0041015156229165,-0.1544648735927207,0.1700862717189072,-0.1366300724476643,50,0.3020888355342137,0.0093678480162728,0.544760717278354,-0.2869147659063625,50,-0.0476830732292917,-0.3585370345332394,0.262895648002003,-0.0184873949579831
l2_norm_all,300,0.5034527050300559,0.4082513837532048,0.589284971661746,0.5505154501716686,150,0.2526921196497622,0.0899457263796863,0.4094677889861247,0.2976790079559091,50,0.5931812725090035,0.344277601623591,0.7601303953433883,0.3663385354141656,50,0.0002400960384153,-0.3039401559700562,0.285502867952805,0.0699639855942376
params,300,0.1933314814609051,0.0781117128579154,0.3056901554197602,,150,0.1000417796346504,-0.0649637690228547,0.2769971963733704,,50,0.5072268907563025,0.2659547315618736,0.6831387831286853,,50,-0.0376950780312124,-0.323303534680004,0.2552015725758796,
flops,300,0.3115599062211802,0.2062007619646758,0.4069304276101174,,150,9.778212364993998e-05,-0.1650390454329024,0.1622550721565932,,50,-0.0340456182472989,-0.3419199032715846,0.2520883043189496,,50,0.020984393757503,-0.256274889036801,0.3139074239836119,
