score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
snip_all alone (under A),50,-0.25983193277310923,-0.5150308311695171,0.03526388883093383,-0.1657142857142857,0.06841594028483546,-0.2436974789915966,-0.20032840722495895,False
S_spatial (snip_all),50,-0.07555286096611744,-0.3766044822302102,0.2167877542812541,-0.05981122522843768,0.6020370987875074,-0.3336664614799561,-0.3946360153256705,False
z_spatial (snip_all),50,-0.05165707238148496,-0.3509908900304187,0.2330555058993959,-0.028999381928939482,0.7216384214929019,-0.27606380329976166,-0.2928297755883963,False
composite = z(snip_all) + z(S_spatial),50,-0.3055462184873949,-0.5609114326018513,-0.015407790438347817,-0.19836734693877553,0.030944384516682723,-0.43071046600458357,-0.3760262725779967,False
composite = z(snip_all) + z(z_spatial),50,-0.29517406962785114,-0.5492973591684092,-0.0023266864045718887,-0.1951020408163265,0.03743187773002154,-0.5187165775401069,-0.4510125889436234,False
