proxy,n,spearman,ci_lo,ci_hi,kendall,p,partial_params,seed_cv,graph-blind,graph-blind (n),has graph,has graph (n),uses A,uses A (n),gcn (incl. mixed),gcn (incl. mixed) (n),diffusion (incl. mixed),diffusion (incl. mixed) (n),head=mse,head=mse (n),head=mae,head=mae (n),head=quantile,head=quantile (n)
tfas_zico_cl,50,0.6100840336134454,0.4045440757159156,0.7551590994596507,0.433469387755102,2.556913330644717e-06,0.4232893157262905,0.004789158630528538,0.8264705882352942,16,0.5388846447669977,34,0.46195949644225504,28,0.5894736842105263,19,0.48384615384615387,25,0.7503759398496239,20,0.4461538461538462,14,0.75,16
l2_norm,50,0.5896278511404562,0.38145319623369,0.7406224641625108,0.4106122448979592,6.619091797053443e-06,0.39025210084033607,0.0008397260209436618,0.6735294117647058,16,0.5770817417876241,34,0.539135194307608,28,0.612280701754386,19,0.5384615384615384,25,0.7308270676691728,20,0.38461538461538464,14,0.6323529411764706,16
grasp,50,-0.0860984393757503,-0.38709685584352754,0.22763496572871555,-0.06285714285714286,0.5521676591498831,-0.09848739495798318,0.744451725213271,-0.06176470588235294,16,-0.05362872421695951,34,0.15270935960591134,28,0.3192982456140351,19,0.1576923076923077,25,0.08120300751879699,20,-0.7274725274725276,14,0.011764705882352941,16
synflow,50,-0.09915966386554621,-0.397828537312648,0.18905349178241473,-0.08244897959183674,0.49326712687897656,-0.20806722689075627,0.02112437092199364,0.27058823529411763,16,-0.34453781512605036,34,-0.23316912972085385,28,0.007017543859649123,19,-0.21076923076923076,25,-0.15037593984962402,20,0.2,14,0.023529411764705882,16
plain,50,-0.1673469387755102,-0.41729688835637824,0.10472888970764489,-0.10693877551020409,0.24539569752732665,-0.27289315726290514,0.5758757040748697,0.08823529411764705,16,-0.2711993888464476,34,-0.2835249042145594,28,-0.07543859649122807,19,-0.27615384615384614,25,-0.3278195488721804,20,0.24835164835164836,14,0.4176470588235294,16
snip,50,-0.25983193277310923,-0.5150308311695171,0.03526388883093383,-0.1657142857142857,0.06841594028483546,-0.43807923169267704,0.056144164413258674,-0.27058823529411763,16,-0.2436974789915966,34,-0.20032840722495895,28,-0.14210526315789473,19,-0.18846153846153846,25,-0.23308270676691725,20,-0.44175824175824174,14,0.19705882352941176,16
grad_norm,50,-0.26780312124849937,-0.5216264234207367,0.015890171000538012,-0.17061224489795918,0.06007224000518943,-0.4509483793517407,0.06983878764209599,-0.2352941176470588,16,-0.24980901451489684,34,-0.22495894909688013,28,-0.15789473684210528,19,-0.21076923076923076,25,-0.21804511278195485,20,-0.4153846153846154,14,0.15882352941176472,16
