score,n,spearman,ci_lo,ci_hi,kendall,p,graph_archs_only,uses_A_only,beats_0.737
grad_norm_all alone (under A),50,-0.25262905162064825,-0.505435816958286,0.022623397260079222,-0.15918367346938775,0.07672551724978052,-0.2406417112299465,-0.21127531472359057,False
S_spatial (grad_norm_all),50,-0.08509109590536151,-0.3863940072505971,0.20682000470489278,-0.07068599345179,0.5568452701785721,-0.3526630827947011,-0.4247400109469075,False
z_spatial (grad_norm_all),50,-0.05326351195019974,-0.3546140926255006,0.2301756811801765,-0.0308118432994982,0.7133469125845964,-0.2797405687155188,-0.3054187192118227,False
composite = z(grad_norm_all) + z(S_spatial),50,-0.3041056422569028,-0.5584242844904984,-0.022798467813801314,-0.1951020408163265,0.03178520465860403,-0.43773873185637896,-0.41488779419813904,False
composite = z(grad_norm_all) + z(z_spatial),50,-0.2517647058823529,-0.5271515595761282,0.045121911876533756,-0.1657142857142857,0.07777400941386875,-0.4716577540106952,-0.4455391351943076,False
